Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1961-01-01,5.49349061554218,4.82875889510893,0.00302189633931762,-3.7555729160382,-3.6720619756827,,,Parameter Point Estimates,,,,,,,,,,,,,,,,1961-01-01,1.43677044232571,1.28783689198707,0.541651072424098
1961-04-01,5.68239868433369,4.98979791494694,0.00882293489841629,-3.40755656922749,-3.81097788006785,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,1961-04-01,1.44804869737737,1.27623097354223,0.529604441414042
1961-07-01,5.60903640644719,4.92309142689261,0.0113082803838743,-2.64021296632063,-3.77852083558897,,,1.38537984511496,-0.449005541969022,-0.0782618738918134,0.680428511600718,0.0705082106856784,0.453723828726389,0.787611138891984,0.49493825522553,-0.0834032042929012,1.13703517580142,9.0726814496891,1.79379514477779,1.66176565247992,0.936374303145938,,,1961-07-01,1.45597707734623,1.26553067153582,0.518876272104081
1961-10-01,5.59201059320089,4.9107190484663,0.00835029661661679,-1.93102788280373,-3.68120914272539,,,T Statistics,,,,,,,,,,,,,,,,1961-10-01,1.46062284099009,1.2558094650461,0.509054977886055
1962-01-01,5.4315194542335,4.76786434982396,0.0102899750340787,-1.11659253910921,-3.71704747478359,,,13.3099578941294,4.18897535690926,4.20389877061182,16.7724308596617,2.9400776548421,4.57978450552124,29.1454779723982,5.80072079335721,2.17624873230311,3.52007839985932,2.34451513935149,2.98495265202001,2.09906833907089,,,,1962-01-01,1.45699481559929,1.24753111197274,0.499665415304258
1962-04-01,4.90555735551365,4.31228551311083,0.00233703900774974,-0.527162400644215,-3.24387363530357,,,,,,,,,,,,,,,,,,,1962-04-01,1.44346975915916,1.24275134747989,0.490452527015695
1962-07-01,4.7926776603679,4.21646771369425,-0.00159444773346393,-0.191603207156504,-3.02706352764016,,,,,,,,,,,,,,,,,,,1962-07-01,1.43205454700154,1.23974883445388,0.481308190683499
1962-10-01,4.33007235798717,3.82474359858333,-0.0187956520233914,-0.0544638540720825,-2.50767608703999,,,Average Standard Errors,,,,,,,,,,,,,,,,1962-10-01,1.43941032538532,1.24100494993328,0.472481640687843
1963-01-01,4.31426149869866,3.80605735396048,-0.013359593872102,0.154363831698333,-2.45627425773263,,,y*,r*,g,,,,,,,,,,,,,,1963-01-01,1.44308917044404,1.24334850119683,0.464362418729044
1963-04-01,4.27947905169684,3.77284746068791,-0.0103812240383986,0.428062476736955,-2.41454858691966,,,1.63640165332099,1.16579219981346,0.422541254873416,,,,,,,,,,,,,,1963-04-01,1.45208936393894,1.24678953879409,0.45727887925527
1963-07-01,4.61398038716718,4.05836863839668,-0.000527511059170807,0.862670657504509,-2.37255633268263,,,,,,,,,,,,,,,,,,,1963-07-01,1.43795103281878,1.24833972938543,0.450893962862511
1963-10-01,4.33862411153333,3.8134862452584,0.00255610823963823,1.27962867941869,-2.30090139365299,,,Restrictions on MC draws: a_3 < -0.0025; b_2 > 0.025; a_1 + a_2 < 1,,,,,,,,,,,,,,,,1963-10-01,1.45618871630303,1.25309854320796,0.445581523533963
1964-01-01,4.65295650650888,4.08703185669744,0.00585752082288652,1.54206090117634,-2.70396916256917,,,Draws excluded:,,146,Total:,5000,,,,,,,,,,,,1964-01-01,1.44791462208454,1.2554534144762,0.440840131159164
1964-04-01,4.56295084037519,4.0224370199291,-0.0107015437300445,1.73971720273619,-2.53789317523197,,,Percent excluded:,,0.0283715507190051,,,,,,,,,,,,,,1964-04-01,1.45538076252651,1.25944936602619,0.436918281565236
1964-07-01,4.66488566379679,4.11837537824606,-0.0178520084234761,1.91861946068809,-2.53350628671556,,,Draws excluded because a_r > -0.0025:,,,,0,,,,,,,,,,,,1964-07-01,1.45760593273538,1.26306683411456,0.43352282773596
1964-10-01,4.39757926211116,3.89944014053996,-0.0362213436148131,1.88863266308715,-1.81630951254834,,,Draws excluded because b_y <  0.025:,,,,141,,,,,,,,,,,,1964-10-01,1.47212386554659,1.26986082793748,0.431394928861489
1965-01-01,4.79628786624387,4.23314820457461,-0.0169505467380981,2.1830260057568,-1.88812271907868,,,Draws excluded because a_y1 + a_y2 < 1:,,,,6,,,,,,,,,,,,1965-01-01,1.47355153070566,1.27173905835387,0.429220437557999
1965-04-01,4.7658138942922,4.2146913501479,-0.0264384259719559,2.40591335394959,-1.76176944322189,,,,,,,,,,,,,,,,,,,1965-04-01,1.4875432286289,1.27335237216839,0.427503509008972
1965-07-01,5.03506641356813,4.44917561596441,-0.0238027651013659,2.68392606524105,-2.06376825328884,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,1965-07-01,1.51705049474247,1.27048774383505,0.425432100829218
1965-10-01,5.2665894156722,4.64904401332066,-0.0195371613224176,3.10916150669789,-2.27962838365476,,,lambda_g,0.0727695466617842,,,-587.789350155656,,,,,,,,,,,,1965-10-01,1.573349744428,1.2635099136184,0.422887933488631
1966-01-01,5.51282560983278,4.84416265006787,0.00484227940217173,3.70588096972017,-2.23503162396881,,,lambda_z,0.0206092077053792,,,,,,,,,,,,,,,1966-01-01,1.65453539607073,1.25295787759452,0.419872390887221
1966-04-01,5.24309541976273,4.57625998960234,0.0397268379722112,4.01641931929896,-2.08286003258926,,,,,,,,,,,,,,,,,,,1966-04-01,1.62813260644129,1.24556938577966,0.417579077483705
1966-07-01,5.22712671165933,4.55231715582582,0.0509819740810838,3.85450103299456,-2.04846849364935,,,,,,,,,,,,,,,,,,,1966-07-01,1.62963120970367,1.23773895991266,0.415478372712487
1966-10-01,5.20215910457583,4.5220057766148,0.0604794713875641,3.68996977645975,-2.3953212857824,,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,1966-10-01,1.63776629800467,1.2295632757478,0.413506379171509
1967-01-01,5.15730749199529,4.53230403438651,0.00391837747112513,3.18066826120287,-3.19279609998864,,,Initial State Vector,,,,,,,,,,,,,,,,1967-01-01,1.64782997095949,1.22123733728321,0.411603334498485
1967-04-01,4.91417834127994,4.33098146983998,-0.0102999356722682,2.85071073364713,-3.6862738283608,,,811.27211881791,810.111452336212,808.950880590638,1.16066648169806,1.16057174557351,1.16052441634675,0,0,0,,,,,,,,1967-04-01,1.61409009370935,1.2153505415712,0.4100760820574
1967-07-01,4.93599444475855,4.3246657307466,0.0186973853167027,2.84324574959066,-3.89299191039424,,,,,,,,,,,,,,,,,,,1967-07-01,1.61733399699873,1.20862588806458,0.408575891647509
1967-10-01,4.85822537190534,4.23950661984731,0.0377572170959588,2.92180496251251,-3.65998522905651,,,Initial Covariance Matrix,,,,,,,,,,,,,,,,1967-10-01,1.61313413144333,1.20192967254047,0.407275420918202
1968-01-01,5.09577286172758,4.4119344891815,0.0792481541967278,3.34416237537084,-3.82496952659356,,,0.643139873993012,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,1968-01-01,1.66674532065851,1.19154063180672,0.405894621322213
1968-04-01,5.16245898073762,4.45866636467889,0.092798486935064,3.75993241466165,-3.10555485327335,,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,1968-04-01,1.70845603008458,1.17993233153488,0.404688188055122
1968-07-01,5.01843863682911,4.34957746363258,0.0728160608057259,3.7828305123054,-3.20834662700367,,,0,0,0.2,0,0,0,0,0,0,,,,,,,,1968-07-01,1.69385046694164,1.16958944671357,0.403777688120142
1968-10-01,4.85502353766298,4.21469655384452,0.0627653006127229,3.59195685701445,-3.22939866558063,,,0.2,0,0,0.201287524571602,0.2,0,0,0,0,,,,,,,,1968-10-01,1.66524002457906,1.16037689935446,0.403100190593964
1969-01-01,4.98920809231511,4.35037365651271,0.0426802169802954,3.48191195706249,-2.62220329607621,,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,1969-01-01,1.70538316821653,1.14898367957686,0.402568873364244
1969-04-01,4.78436426013286,4.17445777600986,0.0378589289118633,3.38430286429627,-0.518180752161346,,,0,0,0,0,0,0.2,0,0,0,,,,,,,,1969-04-01,1.68179036569938,1.13960181542455,0.402178900851163
1969-07-01,4.73877997647017,4.15219247402997,0.0175910768001595,3.02184018987418,0.213596377050151,,,0,0,0,0,0,0,0.214321413574167,0.2,0,,,,,,,,1969-07-01,1.68145335223587,1.13054061268267,0.401792938577459
1969-10-01,4.44700431884103,3.91299048070966,-0.00220350030197387,2.38618614117172,0.448272782117487,,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,1969-10-01,1.63091143694082,1.12450237458225,0.401198933361603
1970-01-01,4.29942752956097,3.81347626203529,-0.0366291224568838,1.54762553977866,0.177686827247203,,,0,0,0,0,0,0,0,0,0.2,,,,,,,,1970-01-01,1.60643740454734,1.11962136523413,0.400460857288674
1970-04-01,4.22376675665558,3.75365474822225,-0.0442707298871524,0.950906717023145,-0.420440007992964,,,,,,,,,,,,,,,,,,,1970-04-01,1.59707239963065,1.11528347372432,0.399718981522663
1970-07-01,4.29500605824233,3.82103439540213,-0.0496444572770183,0.644666838380999,-1.7369785956161,,,,,,,,,,,,,,,,,,,1970-07-01,1.61126231157472,1.11046784919973,0.399045216352742
1970-10-01,3.867289823921,3.40449352886925,-0.00373907419165281,0.411030608425449,-2.77136893044458,,,,,,,,,,,,,,,,,,,1970-10-01,1.56217551849071,1.11016290625704,0.398236416407567
1971-01-01,4.36833078163996,3.83464024281137,0.00820993901972929,0.56189088132362,-5.25812909415174,,,,,,,,,,,,,,,,,,,1971-01-01,1.61831489103133,1.104618373305,0.397816438231821
1971-04-01,4.09986648571257,3.6365805918154,-0.0350535668182975,0.803974481899786,-4.25670963376661,,,,,,,,,,,,,,,,,,,1971-04-01,1.59889069112788,1.10198745543251,0.397393816133462
1971-07-01,3.9418570277415,3.56236969357976,-0.10868262306762,0.795576297757748,-2.96033688272416,,,,,,,,,,,,,,,,,,,1971-07-01,1.58103734811954,1.10081155985267,0.396958061916753
1971-10-01,3.61893224878219,3.40546893567471,-0.253205721178995,0.349434297963853,-2.58845635421925,,,,,,,,,,,,,,,,,,,1971-10-01,1.55194973454248,1.10181008552091,0.396563461898771
1972-01-01,3.86501663278339,3.56249327392151,-0.185663533221336,0.88770463451317,-3.79463108422019,,,,,,,,,,,,,,,,,,,1972-01-01,1.55414304877713,1.10013078459852,0.396388717532824
1972-04-01,4.02934544464778,3.76447218180541,-0.250991844390911,1.25567945898342,-2.70902587036239,,,,,,,,,,,,,,,,,,,1972-04-01,1.57229210356269,1.09586313587619,0.396368406759664
1972-07-01,3.89225187183082,3.64988693541811,-0.257797961437629,1.69077589052142,-1.91233726769992,,,,,,,,,,,,,,,,,,,1972-07-01,1.55164280153861,1.09227128326982,0.3963740827428
1972-10-01,3.99226216049425,3.76844788078815,-0.292595638136204,1.87280414282748,-1.63673492651766,,,,,,,,,,,,,,,,,,,1972-10-01,1.55774320645936,1.08628105475087,0.39650773302598
1973-01-01,4.29404248098852,4.02378828074267,-0.281146334193428,2.39306744989676,-0.189120902708054,,,,,,,,,,,,,,,,,,,1973-01-01,1.61030514558143,1.07672012359089,0.397139515758625
1973-04-01,4.37923383353935,3.93598872706102,-0.096123800686902,3.31456357195736,0.446674862950951,,,,,,,,,,,,,,,,,,,1973-04-01,1.61464514416591,1.06763090473956,0.398273838981279
1973-07-01,4.07446457336383,3.65209559619671,-0.0780965849013046,2.97694155684474,3.22944090561806,,,,,,,,,,,,,,,,,,,1973-07-01,1.55955346857613,1.06113940560245,0.39944768392193
1973-10-01,4.28575058569366,3.78712120054691,-0.020339434351501,2.62523356801466,1.63027505888395,,,,,,,,,,,,,,,,,,,1973-10-01,1.57278031843566,1.05307507347686,0.401260109494605
1974-01-01,4.05755930888497,3.50215727271512,0.075483298619102,2.19370488351524,0.110680290043285,,,,,,,,,,,,,,,,,,,1974-01-01,1.53268133894792,1.04759879216658,0.402907330458088
1974-04-01,4.279150419831,3.46161309278037,0.343174568324955,2.40660500500667,0.941488648570245,,,,,,,,,,,,,,,,,,,1974-04-01,1.53183522411558,1.0421390189003,0.404669168891922
1974-07-01,4.11670023080678,3.1540489228,0.530435659384589,2.28821963443147,0.57910734830943,,,,,,,,,,,,,,,,,,,1974-07-01,1.50238454364126,1.03934331237693,0.405562282870904
1974-10-01,3.97511807697659,3.06988449088173,0.484551425196825,1.32781314773035,-3.42785637681362,,,,,,,,,,,,,,,,,,,1974-10-01,1.49316751341801,1.03779664191737,0.405698737634727
1975-01-01,3.46592102692277,2.78457580241395,0.299760389892639,0.000835105748024034,-6.48487221996996,,,,,,,,,,,,,,,,,,,1975-01-01,1.49690153169763,1.03929609065206,0.404621818082389
1975-04-01,3.34202451969762,2.86063627730642,0.0893804472265835,-0.808226193381188,-6.37421659200869,,,,,,,,,,,,,,,,,,,1975-04-01,1.50127981944294,1.04057960298034,0.40358382268729
1975-07-01,3.37606505447428,2.97340430187928,-0.00480022864173718,-0.505005851316469,-4.28904387225955,,,,,,,,,,,,,,,,,,,1975-07-01,1.49935856762986,1.04125101606397,0.402851788973955
1975-10-01,3.32813555599173,2.93621366462946,-0.0104426643607746,0.222460477672826,-4.23639394114108,,,,,,,,,,,,,,,,,,,1975-10-01,1.50337143245817,1.04239827108763,0.402084786842378
1976-01-01,3.5029208090096,3.11694453535647,-0.041154768712733,0.92284009716559,-4.61320016565322,,,,,,,,,,,,,,,,,,,1976-01-01,1.50289881062569,1.04242040332315,0.401559348091436
1976-04-01,3.21170257872549,2.97977087028871,-0.176401716621193,1.09053618123801,-3.60672570390881,,,,,,,,,,,,,,,,,,,1976-04-01,1.50779648552534,1.04451756135062,0.400461062234345
1976-07-01,3.1280968146856,2.84164849281051,-0.102957478903051,1.61481289583912,-3.49377821167815,,,,,,,,,,,,,,,,,,,1976-07-01,1.52397201350804,1.04819996746729,0.398997635550101
1976-10-01,3.08044871663594,2.7974573282984,-0.100358668442805,1.80748520303462,-3.82395923942935,,,,,,,,,,,,,,,,,,,1976-10-01,1.54004580617927,1.05263957658685,0.39764353294808
1977-01-01,3.1759404684098,2.83870912453065,-0.051771660050009,2.2344775463406,-4.3031017815765,,,,,,,,,,,,,,,,,,,1977-01-01,1.54080265201558,1.0567000374204,0.396741055487698
1977-04-01,3.35764496255059,3.02309082356152,-0.0797156434813499,2.65612915849601,-4.28162887983786,,,,,,,,,,,,,,,,,,,1977-04-01,1.5242069914808,1.05913093108624,0.396358303600876
1977-07-01,3.50079964302329,3.12347542486183,-0.0507017857959039,3.35970963037869,-3.81599728535249,,,,,,,,,,,,,,,,,,,1977-07-01,1.52197731322405,1.06099729005247,0.39628373638388
1977-10-01,3.13159291075915,2.89506389929825,-0.160196578935796,3.2295195550978,-2.58375922236581,,,,,,,,,,,,,,,,,,,1977-10-01,1.54327167866153,1.06567179640033,0.396349519114991
1978-01-01,3.03761680538793,2.81993909387615,-0.168753137966838,3.10141182402856,-2.11061110823985,,,,,,,,,,,,,,,,,,,1978-01-01,1.57092143889087,1.07039964559393,0.396752231602475
1978-04-01,3.84794338625858,3.45132510110882,-0.0763346568285503,3.90609933306541,-2.53457778080529,,,,,,,,,,,,,,,,,,,1978-04-01,1.526177405001,1.06793470285753,0.397361147054287
1978-07-01,3.72773174406191,3.36282767053545,-0.0959216074952597,4.34862181399694,-1.57395270955436,,,,,,,,,,,,,,,,,,,1978-07-01,1.5278395967524,1.06612327974549,0.398136761990078
1978-10-01,3.8534507785252,3.44792856406936,-0.0669652824721546,4.57265024716173,-0.391641693812044,,,,,,,,,,,,,,,,,,,1978-10-01,1.53242661378762,1.06342464466988,0.399148527115648
1979-01-01,3.56234259909548,3.36366249554262,-0.262259977860484,3.78335589634628,0.640331856682145,,,,,,,,,,,,,,,,,,,1979-01-01,1.52159421445867,1.06199655065446,0.400329715508024
1979-04-01,3.68955964778939,3.25663696768634,-0.013351139285266,4.02905672802046,0.169825313179633,,,,,,,,,,,,,,,,,,,1979-04-01,1.51378531884161,1.06092435704322,0.401634332432968
1979-07-01,3.72422410786547,3.36789064717705,-0.105186026227454,3.31136829134243,0.866756038804121,,,,,,,,,,,,,,,,,,,1979-07-01,1.51131603413346,1.05895002973515,0.403161255941887
1979-10-01,3.74442588208456,3.31290120842423,-0.0224593258488291,3.11949806444488,3.58913807743586,,,,,,,,,,,,,,,,,,,1979-10-01,1.50889983344501,1.05752507745662,0.404865911046932
1980-01-01,3.88919926402753,3.30060230974754,0.136298336513146,3.00389139332174,4.13028661700857,,,,,,,,,,,,,,,,,,,1980-01-01,1.50746567702851,1.05666709260976,0.406704483783938
1980-04-01,3.31692230217758,2.87622062420819,0.0465582790873449,1.57440405247655,1.8633785630647,,,,,,,,,,,,,,,,,,,1980-04-01,1.51104047681301,1.05985236509675,0.408108481682777
1980-07-01,3.38775396433764,2.93898827650885,0.0460209126790767,0.487600542812174,-1.80771142844444,,,,,,,,,,,,,,,,,,,1980-07-01,1.51593625538685,1.06203271081544,0.409515640325211
1980-10-01,3.84536568904348,3.2427437702056,0.158251956208791,0.646196502438215,4.35112079371991,,,,,,,,,,,,,,,,,,,1980-10-01,1.49264160239709,1.06104547450019,0.411325216189976
1981-01-01,4.05624622381698,3.4830404731658,0.0959066870874261,0.693075435972332,5.24472782436903,,,,,,,,,,,,,,,,,,,1981-01-01,1.50521236912971,1.05858003294305,0.413561370935009
1981-04-01,3.58075282659806,3.22076972151867,-0.081375639924821,-0.268973333377176,7.50165708841864,,,,,,,,,,,,,,,,,,,1981-04-01,1.48752931329831,1.05860498150126,0.415410384070406
1981-07-01,3.82758202351259,3.48733751396881,-0.137643399761835,-1.05596512571731,7.39614425967738,,,,,,,,,,,,,,,,,,,1981-07-01,1.50359453946712,1.05698148454235,0.41717319753205
1981-10-01,3.45236829650837,3.23091065124027,-0.221290763823296,-2.19071025562835,3.66408232913827,,,,,,,,,,,,,,,,,,,1981-10-01,1.50306830955267,1.0580662422509,0.418145708256643
1982-01-01,2.96639280114082,2.95600047869268,-0.394683722818595,-3.84902052791244,5.60857582045699,,,,,,,,,,,,,,,,,,,1982-01-01,1.53837106789713,1.06172530763655,0.418273214599011
1982-04-01,3.04603920238169,3.08030315326264,-0.456373835009966,-4.75386584685077,6.41764313984453,,,,,,,,,,,,,,,,,,,1982-04-01,1.55225421657402,1.06501788607943,0.41826185547931
1982-07-01,2.94697909973735,2.91855754443368,-0.371523490884366,-5.08992412005932,2.71257866783619,,,,,,,,,,,,,,,,,,,1982-07-01,1.5891185434465,1.07005303671003,0.417971302040987
1982-10-01,2.83953982179727,2.86382015384605,-0.416724430294722,-5.65889812894738,1.26213107518746,,,,,,,,,,,,,,,,,,,1982-10-01,1.62667898724384,1.07603194371608,0.41763654390886
1983-01-01,2.99078719966101,2.99027805283637,-0.409264131840933,-5.54859564869969,0.564250631584694,,,,,,,,,,,,,,,,,,,1983-01-01,1.6218404011889,1.08111011234646,0.417362343664204
1983-04-01,3.0802948013738,3.24610765987294,-0.610643792340171,-5.47546667145457,1.2132336733464,,,,,,,,,,,,,,,,,,,1983-04-01,1.59581558158864,1.08436898940441,0.416915791037058
1983-07-01,3.42766512072299,3.29345687590412,-0.317111197165055,-3.88318537290127,1.68094662776882,,,,,,,,,,,,,,,,,,,1983-07-01,1.5860618878828,1.08663936290073,0.416167190899869
1983-10-01,3.39991665695679,3.46903077881953,-0.544493364498822,-3.80579699827365,2.26140263698856,,,,,,,,,,,,,,,,,,,1983-10-01,1.58324513168478,1.08750928684017,0.415022604701976
1984-01-01,3.59845460928844,3.57507641955314,-0.466533035921677,-2.99395696708029,2.64913061776164,,,,,,,,,,,,,,,,,,,1984-01-01,1.58722478516478,1.08707086485087,0.413520600545695
1984-04-01,3.79254440382108,3.65410670349482,-0.36230345418431,-2.27134680967742,3.02639018317437,,,,,,,,,,,,,,,,,,,1984-04-01,1.59552933443418,1.08566967351843,0.411818698936707
1984-07-01,3.69273734220783,3.63922221588277,-0.445186329808889,-2.33709403883006,4.64455808160143,,,,,,,,,,,,,,,,,,,1984-07-01,1.60307027652719,1.08444097011874,0.410105438416754
1984-10-01,3.61894902895434,3.65590307899936,-0.53794137118866,-2.6851904087149,2.41487586952233,,,,,,,,,,,,,,,,,,,1984-10-01,1.61278369057251,1.08302462593961,0.408406822458511
1985-01-01,3.89454906246792,3.6521351290677,-0.258057046062121,-2.04815083882875,0.916752752493929,,,,,,,,,,,,,,,,,,,1985-01-01,1.62027164943195,1.08097891172469,0.406765548925325
1985-04-01,3.76605267544522,3.67205386705081,-0.409201738829188,-2.470946391143,0.735524923418596,,,,,,,,,,,,,,,,,,,1985-04-01,1.6229061039881,1.07867370668812,0.405235214714906
1985-07-01,3.95398180563065,3.76453540942621,-0.326427375436956,-2.06973560808774,0.434974579827375,,,,,,,,,,,,,,,,,,,1985-07-01,1.62712887795359,1.07535439338064,0.403840727030875
1985-10-01,3.74762663933806,3.69597656073632,-0.4548287191567,-2.26018683443306,0.86034452187475,,,,,,,,,,,,,,,,,,,1985-10-01,1.62331730718303,1.07278075667347,0.402656147711845
1986-01-01,3.83620696581181,3.6556696062261,-0.320417967575406,-1.82462066099663,0.7426429927539,,,,,,,,,,,,,,,,,,,1986-01-01,1.6200093629181,1.0704331865721,0.401673894453595
1986-04-01,3.58475827951351,3.56905267342023,-0.473380154453394,-2.25603106677977,0.188573146648397,,,,,,,,,,,,,,,,,,,1986-04-01,1.61485657060002,1.06899566035759,0.400846472910557
1986-07-01,3.57841957695983,3.58042155470219,-0.492645674934183,-2.27936744954025,-0.236814344411798,,,,,,,,,,,,,,,,,,,1986-07-01,1.61230272496452,1.06757518447316,0.400167032544545
1986-10-01,3.49960201281121,3.46632190768324,-0.441727926875732,-2.08725780038003,-0.188154913995536,,,,,,,,,,,,,,,,,,,1986-10-01,1.60771148912767,1.06700861503967,0.399600187080569
1987-01-01,3.38287770264912,3.43089731298059,-0.518173226772388,-2.22486681191583,0.327631025845335,,,,,,,,,,,,,,,,,,,1987-01-01,1.60475865221039,1.06674482723338,0.399122508363697
1987-04-01,3.54309656913471,3.42143903914255,-0.34719997023059,-1.63117912086659,0.34830394013676,,,,,,,,,,,,,,,,,,,1987-04-01,1.60095645498551,1.06619824946266,0.398717262869651
1987-07-01,3.51958528753749,3.38869742277709,-0.333482882307688,-1.46641142488238,0.370680656703308,,,,,,,,,,,,,,,,,,,1987-07-01,1.59989196788712,1.0655582281825,0.398336388501112
1987-10-01,3.7790500376335,3.52499475669427,-0.22899299524347,-0.940622467355865,-0.00636679246130534,,,,,,,,,,,,,,,,,,,1987-10-01,1.59827862439607,1.06363345353104,0.398027740466694
1988-01-01,3.63459970964779,3.39789028536398,-0.228921068324994,-0.80564739654244,-0.471698237842739,,,,,,,,,,,,,,,,,,,1988-01-01,1.59594899745021,1.06243907850804,0.397743216055787
1988-04-01,3.8411781622246,3.45955738445725,-0.0924602766068649,-0.322927257721858,-0.384147682701552,,,,,,,,,,,,,,,,,,,1988-04-01,1.59288847925723,1.06050627934257,0.397560760784491
1988-07-01,3.73977787467521,3.36784029421465,-0.0895750063282655,-0.236587154673657,0.366266304173772,,,,,,,,,,,,,,,,,,,1988-07-01,1.58915867477474,1.05891022174276,0.397411221850884
1988-10-01,3.86238798899368,3.46520806837195,-0.077675476216135,-0.114986763347247,0.683346933152901,,,,,,,,,,,,,,,,,,,1988-10-01,1.58881154327856,1.05630428170363,0.397409554107911
1989-01-01,3.87062715209333,3.48182476912282,-0.088330086375987,-0.0562159992523448,1.63323555315964,,,,,,,,,,,,,,,,,,,1989-01-01,1.59145001520903,1.05332390108159,0.397583435005664
1989-04-01,3.76844661827442,3.48311277115237,-0.19197512380899,-0.37462399302467,2.34812016555104,,,,,,,,,,,,,,,,,,,1989-04-01,1.59527722000478,1.05019403007598,0.397977599643249
1989-07-01,3.68143236296327,3.50763324403613,-0.306870019316262,-0.828716714686379,2.11957203308936,,,,,,,,,,,,,,,,,,,1989-07-01,1.60190514926934,1.04689417842931,0.398698369729949
1989-10-01,3.60197665113879,3.4028942298862,-0.267233787773524,-1.01877568079169,1.87990282127891,,,,,,,,,,,,,,,,,,,1989-10-01,1.60807608601971,1.04392131695401,0.399681039471703
1990-01-01,3.83669872497211,3.4877240146034,-0.128966163119322,-0.84714885551773,1.184235974295,,,,,,,,,,,,,,,,,,,1990-01-01,1.61785815801043,1.04042588255355,0.401352867324561
1990-04-01,3.76119101872244,3.39515129485726,-0.0992154306980131,-0.934295680936884,1.04569856829662,,,,,,,,,,,,,,,,,,,1990-04-01,1.61992249129889,1.03766499921163,0.403316649141411
1990-07-01,3.59207823342102,3.27277396580625,-0.129180888147816,-1.29281527236094,0.85966710409532,,,,,,,,,,,,,,,,,,,1990-07-01,1.61333826517538,1.03592682138917,0.405114702867004
1990-10-01,3.14768691902757,2.97874498282559,-0.239250906187139,-2.08102662791066,0.919890156807313,,,,,,,,,,,,,,,,,,,1990-10-01,1.61803258888702,1.03569612703598,0.405927501543787
